SalePrice,Area,Bedrooms,Bathrooms,CarParks,PropertyType
385000,363,3,2,1,0
566000,636,3,2,2,1
567500,1007,2,2,1,1
547000,375,4,2,2,0
440000,493,4,2,2,0
250000,277,3,2,1,1
320000,162,2,1,1,0
617000,672,3,2,2,0
247500,602,1,1,1,1
391000,705,3,2,3,0
520000,552,4,2,4,0
318500,138,3,2,1,0
491500,877,3,1,4,0
600000,2777,2,1,2,1
440000,134,3,2,2,1
550000,697,3,1,1,0
330000,544,4,1,2,0
214500,487,4,3,2,0
432000,646,2,1,1,1
470000,612,4,2,2,0
2222000,686,3,1,1,0
625000,131,2,1,1,0
411000,843,4,2,1,0
901000,371,3,1,4,0
387500,350,3,2,2,0
520000,1042,2,1,1,1
1690000,733,4,4,2,0
256000,194,2,1,1,1
330000,674,4,2,2,0
415000,671,4,1,2,0
345000,1664,2,1,1,0
592000,661,4,2,2,0
362000,1827,1,1,0,1
260000,825,1,1,1,1
1390000,1250,3,2,2,0
715000,237,2,2,1,0
309780,247,3,1,2,1
280000,2018,2,1,1,1
600000,2782,1,1,1,0
470000,608,3,2,2,0
486000,186,2,1,1,1
491000,533,3,2,2,0
330000,545,4,2,2,0
638000,138,2,1,1,0
920000,437,3,3,2,1
409000,680,4,2,2,0
463000,1826,2,2,1,1
1690000,433,3,2,2,0
830500,543,3,1,2,0
888000,661,3,2,2,0
510000,2825,2,2,1,1
215000,1747,2,1,1,1
1170000,588,2,2,3,0
315000,137,2,1,1,1
2150000,1011,1,1,2,0
477500,583,5,2,2,0
430000,613,4,2,2,0
355000,392,4,2,2,0
344000,453,3,1,1,0
358000,310,3,2,2,0
437000,529,3,1,2,0
550000,635,2,1,1,1
315000,401,2,1,1,1
300000,597,3,2,2,0
490000,581,4,2,1,0
1230000,810,4,2,2,0
225000,75,2,1,2,1
390000,696,3,2,2,0
335000,539,3,1,1,0
257000,112,2,1,1,1
308000,654,3,2,2,0
860000,1205,4,2,4,0
550000,714,3,1,2,0
339900,62,2,1,1,1
655000,1115,3,2,2,1
1710000,602,4,1,2,0
585000,195,3,1,2,1
510000,446,2,1,2,0
965000,320,3,1,2,0
905000,464,3,1,2,0
761000,592,4,3,2,0
349000,307,4,2,2,0
305000,117,2,1,1,1
341000,479,4,2,2,0
272500,293,3,2,1,0
320002,490,4,2,2,0
880000,725,3,2,3,0
300000,394,4,2,2,0
322420,618,3,2,1,0
388100,350,3,2,2,1
495000,613,4,1,2,0
230000,699,3,1,1,0
301000,375,3,2,2,0
370000,496,3,2,2,0
715000,653,4,2,1,0
445000,448,3,2,2,0
820000,733,3,1,2,0
430000,438,4,2,2,0
435000,579,3,1,2,0
825000,236,2,1,1,0
545000,585,3,1,1,0
385500,451,4,2,2,0
580000,648,4,2,2,0
337000,1350,2,1,1,1
437400,409,4,2,2,0
440000,1922,2,1,0,1
375000,2056,2,1,1,1
660000,1238,2,1,1,1
595000,2323,2,2,1,1
430000,497,2,1,2,1
549500,685,3,1,1,0
480500,715,3,1,2,0
515000,649,3,2,1,0
1350000,555,4,2,3,0
802000,667,4,2,2,0
435000,437,4,2,2,0
599500,419,2,1,1,1
362000,472,4,2,2,0
335000,650,3,1,1,0
612500,671,4,2,2,0
275000,576,3,1,1,0
359000,313,3,1,1,0
306000,2323,1,1,1,1
433900,350,4,2,2,0
880000,674,4,1,4,0
478000,628,3,1,2,0
450000,448,3,2,2,0
779000,141,3,2,2,1
375000,400,3,2,2,0
322000,385,3,1,1,0
315000,371,4,2,2,0
267500,166,2,1,1,1
398000,246,2,1,1,1
515000,826,3,1,1,0
431000,594,4,2,2,0
920000,393,2,1,2,0
378000,824,2,1,1,1
340000,565,3,3,2,0
515000,1647,1,1,1,1
450000,312,3,2,2,0
315400,562,3,1,2,0
7000000,781,7,1,1,0
340000,1386,2,2,1,1
925000,736,4,1,4,0
290000,585,3,1,1,0
1252000,905,3,2,2,0
472000,538,3,2,1,0
259000,536,3,2,2,0
1870000,511,4,2,2,0
670000,996,3,2,2,0
540000,696,4,2,2,0
360000,895,3,1,1,0
1030000,649,3,1,1,0
599000,1940,2,2,1,1
852000,250,3,1,1,0
481000,677,3,1,2,0
612000,955,3,2,1,0
505000,202,4,3,2,0
565000,985,2,1,1,1
450000,2127,2,1,1,0
645000,700,3,2,2,0
425000,659,4,2,2,0
389500,355,3,2,2,0
545000,1386,2,1,1,0
750000,513,3,1,1,0
295000,576,3,1,1,0
441000,574,3,2,1,0
2275000,1012,3,3,3,0
476000,666,3,2,2,0
711000,1217,4,2,2,0
410000,836,3,2,2,0
386000,563,3,2,2,0
930000,441,3,2,1,0
2200000,700,3,2,2,0
415000,438,4,2,2,0
561000,340,2,1,2,0
460000,480,3,2,2,0
258000,2311,1,1,1,1
